"Time","temperature","humidity","co2"
2021-08-18 13:36:01,25.5,50.3,469
2021-08-18 13:36:07,25.5,50.3,469
2021-08-18 13:40:18,25.6,50.1,479
2021-08-18 13:40:22,25.6,50.1,479
2021-08-18 15:38:14,25.9,48.9,456
2021-08-18 15:38:17,25.9,48.9,456
2021-08-18 15:38:19,25.9,48.9,456
2021-08-18 15:52:47,25.3,50.9,455
2021-08-18 15:53:42,25.4,50.4,435
2021-08-18 15:56:18,25.2,50.9,439
2021-08-18 15:56:22,25.1,50.9,437
2021-08-18 15:56:24,25.2,50.9,437
2021-08-18 15:56:26,25.1,50.9,437
2021-08-23 13:36:13,24.4,57.1,478
2021-08-23 13:38:05,24.7,56.2,498
2021-08-23 13:38:15,24.7,56.1,500
2021-08-23 13:38:26,24.8,56.1,505
2021-08-23 13:38:37,24.8,56.0,509
2021-08-23 13:38:49,24.8,55.9,507
2021-08-23 13:38:59,24.8,56.0,510
2021-08-23 13:39:09,24.9,55.9,508
2021-08-23 13:39:20,24.9,55.9,511
2021-08-23 13:39:31,24.9,55.8,513
2021-08-23 13:39:43,25.0,55.8,514
2021-08-23 13:39:54,25.0,55.7,514
2021-08-23 13:40:04,25.0,55.5,516
2021-08-23 13:40:15,25.1,55.5,520
2021-08-23 13:40:27,25.1,55.5,528
2021-08-23 13:40:37,25.1,55.5,527
2021-08-23 13:40:48,25.1,55.4,522
2021-08-23 13:40:59,25.1,55.3,528
2021-08-23 13:41:11,25.2,55.3,529
2021-08-23 13:41:22,25.2,55.2,530
2021-08-23 13:41:33,25.2,55.2,528
2021-08-23 13:41:45,25.2,55.3,532
2021-08-23 13:41:54,25.1,55.3,532
2021-08-23 13:42:05,25.1,55.3,532
2021-08-23 13:42:16,25.2,55.2,534
2021-08-23 13:42:29,25.2,55.3,535
2021-08-23 13:42:38,25.2,55.2,539
2021-08-23 13:42:51,25.2,55.2,535
2021-08-23 13:43:01,25.2,55.2,539
2021-08-23 13:43:12,25.2,55.1,537
2021-08-23 13:43:22,25.2,55.1,535
2021-08-23 13:43:33,25.2,55.1,538
2021-08-23 13:43:45,25.2,55.0,540
2021-08-23 13:43:55,25.3,54.9,538
2021-08-23 13:44:07,25.3,54.8,536
2021-08-23 13:44:20,25.3,54.9,535
2021-08-23 13:44:29,25.3,54.8,538
2021-08-23 13:44:42,25.3,54.8,541
2021-08-23 13:44:51,25.3,54.9,541
2021-08-23 13:45:02,25.2,55.0,542
2021-08-23 13:45:14,25.3,55.0,541
2021-08-23 13:45:24,25.3,55.0,541
2021-08-23 13:45:36,25.3,55.0,540
2021-08-23 13:45:49,25.3,54.8,539
2021-08-23 13:46:00,25.3,54.8,540
2021-08-23 13:46:08,25.3,54.9,542
2021-08-23 13:46:20,25.3,54.9,529
2021-08-23 13:46:34,25.2,55.0,524
2021-08-23 13:46:40,25.2,55.1,537
2021-08-23 13:46:52,25.2,55.1,544
2021-08-23 13:47:03,25.3,55.0,540
2021-08-23 13:47:16,25.3,55.0,540
2021-08-23 13:47:25,25.3,55.0,530
2021-08-23 13:47:36,25.3,55.1,532
2021-08-23 13:47:46,25.3,55.1,534
2021-08-23 13:47:58,25.3,55.1,539
2021-08-23 13:48:10,25.4,55.0,541
2021-08-23 13:48:22,25.4,54.9,544
2021-08-23 13:48:31,25.4,54.9,543
2021-08-23 13:48:41,25.4,55.0,542
2021-08-23 13:48:53,25.4,55.0,544
2021-08-23 13:49:04,25.4,55.1,544
2021-08-23 13:49:15,25.4,55.3,548
2021-08-23 13:49:29,25.4,55.2,546
2021-08-23 13:49:42,25.5,55.0,542
2021-08-23 13:49:49,25.4,55.0,540
2021-08-23 13:50:00,25.4,55.0,539
2021-08-23 15:52:33,26.8,51.1,580
2021-08-23 15:52:36,26.7,51.1,581
2021-08-23 15:52:38,26.7,51.1,582
2021-08-23 16:53:33,26.4,51.7,600
2021-08-23 16:54:24,26.5,51.6,599
2021-08-23 16:54:39,26.5,51.7,600
2021-08-23 16:57:13,26.4,51.8,602
2021-08-23 16:57:35,26.4,51.7,600
2021-08-23 16:57:57,26.4,51.7,600
2021-08-23 16:58:08,26.4,51.8,603
2021-08-23 16:59:03,26.5,51.6,602
2021-08-23 16:59:23,26.5,51.5,595
2021-08-23 16:59:38,26.5,51.6,598
2021-08-23 17:00:20,26.4,51.7,601
2021-08-23 17:00:32,26.4,51.7,603
2021-08-23 17:00:44,26.4,51.7,600
2021-08-23 17:00:55,26.4,51.7,599
2021-08-23 17:01:04,26.4,51.7,597
2021-08-23 17:01:26,26.4,51.7,595
2021-08-23 17:01:43,26.4,51.6,595
2021-08-23 17:02:54,26.4,51.7,596
2021-08-23 17:08:14,26.4,51.7,605
2021-08-23 17:10:06,26.5,51.5,601
2021-08-23 17:10:08,26.5,51.5,600
2021-08-23 17:10:15,26.5,51.6,600
2021-08-23 17:10:17,26.5,51.6,601
2021-08-23 17:10:23,26.5,51.5,602
2021-08-23 17:10:28,26.5,51.5,603
2021-08-23 17:10:30,26.4,51.5,603
2021-08-23 17:10:38,26.4,51.6,603
2021-08-23 17:10:40,26.5,51.7,603
2021-08-23 17:10:45,26.4,51.6,603
2021-08-23 17:10:50,26.4,51.6,603
2021-08-23 17:10:53,26.5,51.6,604
2021-08-23 17:11:00,26.4,51.7,604
2021-08-23 17:11:03,26.4,51.7,604
2021-08-23 17:11:07,26.4,51.6,604
2021-08-23 17:11:12,26.4,51.7,603
2021-08-23 17:11:15,26.4,51.7,603
2021-08-23 17:11:22,26.4,51.7,602
2021-08-23 17:11:24,26.4,51.7,603
2021-08-23 17:11:29,26.4,51.6,603
2021-08-23 17:11:34,26.4,51.6,603
2021-08-23 17:11:36,26.4,51.7,603
2021-08-23 17:11:44,26.4,51.7,602
2021-08-23 17:11:46,26.4,51.7,603
2021-08-23 17:11:51,26.4,51.7,602
2021-08-23 17:11:56,26.4,51.7,601
2021-08-23 17:11:58,26.4,51.7,601
2021-08-23 17:12:05,26.4,51.7,602
2021-08-23 17:12:08,26.4,51.7,603
2021-08-23 17:12:12,26.4,51.7,604
2021-08-23 17:12:18,26.4,51.7,605
2021-08-23 17:12:20,26.4,51.7,604
2021-08-23 17:12:28,26.4,51.7,603
2021-08-23 17:12:30,26.4,51.7,603
2021-08-23 17:12:35,26.4,51.7,602
2021-08-23 17:12:40,26.4,51.7,603
2021-08-23 17:12:42,26.4,51.7,602
2021-08-23 17:12:49,26.4,51.7,601
2021-08-23 17:12:51,26.4,51.7,601
2021-08-23 17:12:56,26.4,51.7,602
2021-08-23 17:13:02,26.4,51.7,602
2021-08-23 17:13:04,26.4,51.7,603
2021-08-23 17:13:11,26.4,51.7,601
2021-08-23 17:13:13,26.4,51.7,600
2021-08-23 17:13:19,26.4,51.7,600
2021-08-23 17:13:24,26.4,51.7,599
2021-08-23 17:13:27,26.4,51.7,598
2021-08-23 17:13:34,26.4,51.6,597
2021-08-23 17:13:36,26.4,51.7,597
2021-08-23 17:13:41,26.4,51.6,597
2021-08-23 17:13:46,26.4,51.7,597
2021-08-23 17:13:48,26.4,51.7,596
2021-08-23 17:13:55,26.4,51.6,595
2021-08-23 17:13:58,26.4,51.7,596
2021-08-23 17:14:02,26.4,51.6,596
2021-08-23 17:14:08,26.4,51.6,596
2021-08-23 17:14:10,26.4,51.6,596
2021-08-23 17:14:17,26.4,51.6,597
2021-08-23 17:14:20,26.4,51.7,596
2021-08-23 17:14:25,26.4,51.6,596
2021-08-23 17:14:30,26.4,51.6,596
2021-08-23 17:14:32,26.4,51.6,597
2021-08-23 17:14:40,26.4,51.6,598
2021-08-23 17:14:42,26.4,51.6,598
2021-08-23 17:14:47,26.4,51.6,598
2021-08-23 17:14:52,26.4,51.6,597
2021-08-23 17:14:54,26.5,51.6,597
2021-08-23 17:15:01,26.5,51.6,597
2021-08-23 17:15:04,26.4,51.6,596
2021-08-23 17:15:08,26.4,51.6,596
2021-08-23 17:15:14,26.5,51.6,596
2021-08-23 17:15:16,26.4,51.6,596
2021-08-23 17:15:23,26.4,51.6,595
2021-08-23 17:15:26,26.4,51.6,596
2021-08-23 17:15:31,26.4,51.6,596
2021-08-23 17:15:36,26.5,51.6,598
2021-08-23 17:15:38,26.4,51.6,597
2021-08-23 17:15:46,26.5,51.6,598
2021-08-23 17:15:48,26.5,51.6,598
2021-08-23 17:15:53,26.5,51.5,596
2021-08-23 17:15:58,26.5,51.6,590
2021-08-23 17:16:00,26.5,51.6,590
2021-08-23 17:16:07,26.5,51.6,591
2021-08-23 17:16:10,26.5,51.5,597
2021-08-23 17:16:14,26.5,51.6,601
2021-08-23 17:16:20,26.4,51.6,607
2021-08-23 17:16:23,26.5,51.6,610
2021-08-23 17:16:30,26.5,51.6,614
2021-08-23 17:16:32,26.4,51.5,612
2021-08-23 17:16:37,26.5,51.5,608
2021-08-23 17:16:42,26.4,51.5,606
2021-08-23 17:16:44,26.4,51.6,606
2021-08-23 17:16:52,26.5,51.6,603
2021-08-23 17:16:54,26.5,51.6,602
2021-08-23 17:16:59,26.4,51.6,602
2021-08-23 17:17:04,26.4,51.6,609
2021-08-23 17:17:06,26.4,51.7,608
2021-08-23 17:17:14,26.4,51.7,603
2021-08-23 17:17:16,26.4,51.7,601
2021-08-23 17:17:21,26.4,51.7,600
2021-08-23 17:17:26,26.4,51.7,602
2021-08-23 17:17:28,26.4,51.7,604
2021-08-23 17:17:35,26.4,51.7,604
2021-08-23 17:17:38,26.4,51.7,603
2021-08-23 17:17:43,26.4,51.7,606
2021-08-23 17:17:48,26.4,51.6,605
2021-08-23 17:17:51,26.4,51.6,606
2021-08-23 17:17:58,26.5,51.6,597
2021-08-23 17:18:00,26.4,51.6,596
2021-08-23 17:18:05,26.5,51.6,597
2021-08-23 17:18:10,26.5,51.6,599
2021-08-23 17:18:13,26.5,51.6,599
2021-08-23 17:18:20,26.5,51.6,599
2021-08-23 17:18:22,26.4,51.5,601
2021-08-23 17:18:27,26.5,51.5,603
2021-08-23 17:18:32,26.5,51.5,607
2021-08-23 17:18:34,26.5,51.5,606
2021-08-23 17:18:42,26.5,51.5,602
2021-08-23 17:18:44,26.5,51.5,603
2021-08-23 17:18:49,26.5,51.5,602
2021-08-23 17:18:54,26.5,51.5,602
2021-08-23 17:18:57,26.5,51.5,604
2021-08-23 17:19:04,26.5,51.4,603
2021-08-23 17:19:06,26.5,51.5,603
