sep=;
"Series";"Time";"Value"
"Raspi_03";"2021-10-01T11:23:45+02:00";531.5159301757812
"Raspi_03";"2021-10-01T11:23:47+02:00";531.2361450195312
"Raspi_03";"2021-10-01T11:23:49+02:00";531.238037109375
"Raspi_03";"2021-10-01T11:23:51+02:00";530.86669921875
"Raspi_03";"2021-10-01T11:23:53+02:00";530.9290771484375
"Raspi_03";"2021-10-01T11:23:55+02:00";531.0513305664062
"Raspi_03";"2021-10-01T11:23:58+02:00";530.9514770507812
"Raspi_03";"2021-10-01T11:24:00+02:00";530.8072509765625
"Raspi_03";"2021-10-01T11:24:02+02:00";530.7342529296875
"Raspi_03";"2021-10-01T11:24:04+02:00";530.6718139648438
"Raspi_03";"2021-10-01T11:24:06+02:00";530.592529296875
"Raspi_03";"2021-10-01T11:24:08+02:00";530.0022583007812
"Raspi_03";"2021-10-01T11:24:10+02:00";529.9041137695312
"Raspi_03";"2021-10-01T11:24:12+02:00";530.0743408203125
"Raspi_03";"2021-10-01T11:24:14+02:00";530.5001831054688
"Raspi_03";"2021-10-01T11:24:17+02:00";530.1644287109375
"Raspi_03";"2021-10-01T11:24:19+02:00";530.5064086914062
"Raspi_03";"2021-10-01T11:24:21+02:00";530.701171875
"Raspi_03";"2021-10-01T11:24:23+02:00";530.7186279296875
"Raspi_03";"2021-10-01T11:24:25+02:00";530.9451293945312
"Raspi_03";"2021-10-01T11:24:27+02:00";531.2791748046875
"Raspi_03";"2021-10-01T11:24:29+02:00";530.9290771484375
"Raspi_03";"2021-10-01T11:24:31+02:00";530.880859375
"Raspi_03";"2021-10-01T11:24:33+02:00";530.5082397460938
"Raspi_03";"2021-10-01T11:24:35+02:00";530.4364013671875
"Raspi_03";"2021-10-01T11:24:38+02:00";529.8279418945312
"Raspi_03";"2021-10-01T11:24:40+02:00";528.9526977539062
"Raspi_03";"2021-10-01T11:24:42+02:00";528.8403930664062
"Raspi_03";"2021-10-01T11:24:44+02:00";528.364990234375
"Raspi_03";"2021-10-01T11:24:46+02:00";528.0172119140625
"Raspi_03";"2021-10-01T11:24:48+02:00";528.1532592773438
"Raspi_03";"2021-10-01T11:24:50+02:00";528.912841796875
"Raspi_03";"2021-10-01T11:24:52+02:00";529.0936889648438
"Raspi_03";"2021-10-01T11:24:54+02:00";529.0452270507812
"Raspi_03";"2021-10-01T11:24:57+02:00";529.2871704101562
"Raspi_03";"2021-10-01T11:24:59+02:00";528.6134033203125
"Raspi_03";"2021-10-01T11:25:01+02:00";528.485595703125
"Raspi_03";"2021-10-01T11:25:03+02:00";528.6242065429688
"Raspi_03";"2021-10-01T11:25:05+02:00";528.4495239257812
"Raspi_03";"2021-10-01T11:25:07+02:00";528.7786865234375
"Raspi_03";"2021-10-01T11:25:09+02:00";529.3734130859375
"Raspi_03";"2021-10-01T11:25:11+02:00";529.2811889648438
"Raspi_03";"2021-10-01T11:25:13+02:00";529.5432739257812
"Raspi_03";"2021-10-01T11:25:16+02:00";529.872802734375
"Raspi_03";"2021-10-01T11:25:18+02:00";529.9988403320312
"Raspi_03";"2021-10-01T11:25:20+02:00";530.4701538085938
"Raspi_03";"2021-10-01T11:25:22+02:00";530.4749755859375
"Raspi_03";"2021-10-01T11:25:24+02:00";530.3234252929688
"Raspi_03";"2021-10-01T11:25:26+02:00";530.1170654296875
"Raspi_03";"2021-10-01T11:25:28+02:00";530.7903442382812
"Raspi_03";"2021-10-01T11:25:30+02:00";531.399169921875
"Raspi_03";"2021-10-01T11:25:32+02:00";531.4772338867188
"Raspi_03";"2021-10-01T11:25:35+02:00";531.8397827148438
"Raspi_03";"2021-10-01T11:25:37+02:00";532.5360107421875
"Raspi_03";"2021-10-01T11:25:39+02:00";532.7831420898438
"Raspi_03";"2021-10-01T11:25:41+02:00";532.8737182617188
"Raspi_03";"2021-10-01T11:25:43+02:00";533.4299926757812
"Raspi_03";"2021-10-01T11:25:45+02:00";534.1464233398438
"Raspi_03";"2021-10-01T11:25:47+02:00";534.6090698242188
"Raspi_03";"2021-10-01T11:25:49+02:00";534.3453979492188
"Raspi_03";"2021-10-01T11:25:51+02:00";534.8772583007812
"Raspi_03";"2021-10-01T11:25:54+02:00";534.8204956054688
"Raspi_03";"2021-10-01T11:25:56+02:00";534.626708984375
"Raspi_03";"2021-10-01T11:25:58+02:00";534.1734619140625
"Raspi_03";"2021-10-01T11:26:00+02:00";534.8924560546875
"Raspi_03";"2021-10-01T11:26:02+02:00";535.3619995117188
"Raspi_03";"2021-10-01T11:26:04+02:00";535.3264770507812
"Raspi_03";"2021-10-01T11:26:06+02:00";536.0770874023438
"Raspi_03";"2021-10-01T11:26:08+02:00";536.5590209960938
"Raspi_03";"2021-10-01T11:26:10+02:00";537.5490112304688
"Raspi_03";"2021-10-01T11:26:12+02:00";537.9428100585938
"Raspi_03";"2021-10-01T11:26:15+02:00";538.0591430664062
"Raspi_03";"2021-10-01T11:26:17+02:00";537.673095703125
"Raspi_03";"2021-10-01T11:26:19+02:00";536.9638061523438
"Raspi_03";"2021-10-01T11:26:21+02:00";536.887451171875
"Raspi_03";"2021-10-01T11:26:23+02:00";536.7008056640625
"Raspi_03";"2021-10-01T11:26:25+02:00";537.2349853515625
"Raspi_03";"2021-10-01T11:26:27+02:00";538.1292724609375
"Raspi_03";"2021-10-01T11:26:29+02:00";538.4818725585938
"Raspi_03";"2021-10-01T11:26:31+02:00";538.5372924804688
"Raspi_03";"2021-10-01T11:26:34+02:00";538.9444580078125
"Raspi_03";"2021-10-01T11:26:36+02:00";538.9892578125
"Raspi_03";"2021-10-01T11:26:38+02:00";539.0007934570312
"Raspi_03";"2021-10-01T11:26:40+02:00";539.3180541992188
"Raspi_03";"2021-10-01T11:26:42+02:00";539.7592163085938
"Raspi_03";"2021-10-01T11:26:44+02:00";540.0410766601562
"Raspi_03";"2021-10-01T11:26:46+02:00";540.1294555664062
"Raspi_03";"2021-10-01T11:26:48+02:00";540.16015625
"Raspi_03";"2021-10-01T11:26:50+02:00";539.6375122070312
"Raspi_03";"2021-10-01T11:26:53+02:00";539.9959106445312
"Raspi_03";"2021-10-01T11:26:55+02:00";539.9437255859375
"Raspi_03";"2021-10-01T11:26:57+02:00";540.4210815429688
"Raspi_03";"2021-10-01T11:26:59+02:00";541.0154418945312
"Raspi_03";"2021-10-01T11:27:01+02:00";541.4332885742188
"Raspi_03";"2021-10-01T11:27:03+02:00";541.6707153320312
"Raspi_03";"2021-10-01T11:27:05+02:00";541.219970703125
"Raspi_03";"2021-10-01T11:27:07+02:00";541.778076171875
"Raspi_03";"2021-10-01T11:27:09+02:00";541.9432373046875
"Raspi_03";"2021-10-01T11:27:11+02:00";542.8818359375
"Raspi_03";"2021-10-01T11:27:14+02:00";542.9288940429688
"Raspi_03";"2021-10-01T11:27:16+02:00";543.1162719726562
